gs_name	gene_symbol
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	TPM2
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	TRAF3
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	TRAF5
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	TRIP10
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	TSPAN3
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	TUBA4A
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	VCAN
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	ZNF384
HOSHIDA_LIVER_CANCER_SUBCLASS_S2	ABCB10
HOSHIDA_LIVER_CANCER_SUBCLASS_S2	ABCD3
HOSHIDA_LIVER_CANCER_SUBCLASS_S2	ACP1
HOSHIDA_LIVER_CANCER_SUBCLASS_S2	ADD3
HOSHIDA_LIVER_CANCER_SUBCLASS_S2	AFP
HOSHIDA_LIVER_CANCER_SUBCLASS_S2	AHCY
HOSHIDA_LIVER_CANCER_SUBCLASS_S2	ARHGAP35
HOSHIDA_LIVER_CANCER_SUBCLASS_S2	ARID3A
HOSHIDA_LIVER_CANCER_SUBCLASS_S2	ATF2
HOSHIDA_LIVER_CANCER_SUBCLASS_S2	ATM
HOSHIDA_LIVER_CANCER_SUBCLASS_S2	ATP2B1
HOSHIDA_LIVER_CANCER_SUBCLASS_S2	ATP2B2
HOSHIDA_LIVER_CANCER_SUBCLASS_S2	ATP5PB
HOSHIDA_LIVER_CANCER_SUBCLASS_S2	ATXN10
HOSHIDA_LIVER_CANCER_SUBCLASS_S2	BCAM
HOSHIDA_LIVER_CANCER_SUBCLASS_S2	BCLAF1
HOSHIDA_LIVER_CANCER_SUBCLASS_S2	BRD3
HOSHIDA_LIVER_CANCER_SUBCLASS_S2	BTG3
HOSHIDA_LIVER_CANCER_SUBCLASS_S2	CASC3
HOSHIDA_LIVER_CANCER_SUBCLASS_S2	CD46
HOSHIDA_LIVER_CANCER_SUBCLASS_S2	CDK6
HOSHIDA_LIVER_CANCER_SUBCLASS_S2	CHKA
HOSHIDA_LIVER_CANCER_SUBCLASS_S2	CLK2
HOSHIDA_LIVER_CANCER_SUBCLASS_S2	COL2A1
HOSHIDA_LIVER_CANCER_SUBCLASS_S2	CPD
HOSHIDA_LIVER_CANCER_SUBCLASS_S2	CSE1L
HOSHIDA_LIVER_CANCER_SUBCLASS_S2	CSNK2A1
HOSHIDA_LIVER_CANCER_SUBCLASS_S2	CSNK2A2
HOSHIDA_LIVER_CANCER_SUBCLASS_S2	CTNNB1
HOSHIDA_LIVER_CANCER_SUBCLASS_S2	CUL4A
HOSHIDA_LIVER_CANCER_SUBCLASS_S2	CXADR
HOSHIDA_LIVER_CANCER_SUBCLASS_S2	DDX1
HOSHIDA_LIVER_CANCER_SUBCLASS_S2	DDX18
HOSHIDA_LIVER_CANCER_SUBCLASS_S2	DEK
HOSHIDA_LIVER_CANCER_SUBCLASS_S2	EIF4A2
HOSHIDA_LIVER_CANCER_SUBCLASS_S2	EIF4B
HOSHIDA_LIVER_CANCER_SUBCLASS_S2	ENPP1
HOSHIDA_LIVER_CANCER_SUBCLASS_S2	EP300
HOSHIDA_LIVER_CANCER_SUBCLASS_S2	ERBB3
HOSHIDA_LIVER_CANCER_SUBCLASS_S2	FBL
HOSHIDA_LIVER_CANCER_SUBCLASS_S2	FGFR3
HOSHIDA_LIVER_CANCER_SUBCLASS_S2	FGFR4
HOSHIDA_LIVER_CANCER_SUBCLASS_S2	FLNB
HOSHIDA_LIVER_CANCER_SUBCLASS_S2	GBF1
HOSHIDA_LIVER_CANCER_SUBCLASS_S2	GCN1
HOSHIDA_LIVER_CANCER_SUBCLASS_S2	GLUD1
HOSHIDA_LIVER_CANCER_SUBCLASS_S2	GNAI1
HOSHIDA_LIVER_CANCER_SUBCLASS_S2	GPC3
HOSHIDA_LIVER_CANCER_SUBCLASS_S2	GTF2I
HOSHIDA_LIVER_CANCER_SUBCLASS_S2	GTF3C2
HOSHIDA_LIVER_CANCER_SUBCLASS_S2	H1-0
HOSHIDA_LIVER_CANCER_SUBCLASS_S2	HELZ
HOSHIDA_LIVER_CANCER_SUBCLASS_S2	HMGCR
HOSHIDA_LIVER_CANCER_SUBCLASS_S2	HNRNPA2B1
HOSHIDA_LIVER_CANCER_SUBCLASS_S2	HNRNPC
HOSHIDA_LIVER_CANCER_SUBCLASS_S2	HNRNPU
HOSHIDA_LIVER_CANCER_SUBCLASS_S2	IDI1
HOSHIDA_LIVER_CANCER_SUBCLASS_S2	IGF2
HOSHIDA_LIVER_CANCER_SUBCLASS_S2	IGF2R
HOSHIDA_LIVER_CANCER_SUBCLASS_S2	ITIH2
HOSHIDA_LIVER_CANCER_SUBCLASS_S2	KLF3
HOSHIDA_LIVER_CANCER_SUBCLASS_S2	LBR
HOSHIDA_LIVER_CANCER_SUBCLASS_S2	MAPK6
HOSHIDA_LIVER_CANCER_SUBCLASS_S2	MEST
HOSHIDA_LIVER_CANCER_SUBCLASS_S2	NCOA4
HOSHIDA_LIVER_CANCER_SUBCLASS_S2	NET1
HOSHIDA_LIVER_CANCER_SUBCLASS_S2	NR2C1
HOSHIDA_LIVER_CANCER_SUBCLASS_S2	NR5A2
HOSHIDA_LIVER_CANCER_SUBCLASS_S2	NREP
HOSHIDA_LIVER_CANCER_SUBCLASS_S2	NT5E
HOSHIDA_LIVER_CANCER_SUBCLASS_S2	NUP153
HOSHIDA_LIVER_CANCER_SUBCLASS_S2	PEG3
HOSHIDA_LIVER_CANCER_SUBCLASS_S2	PHF3
HOSHIDA_LIVER_CANCER_SUBCLASS_S2	PHKA2
HOSHIDA_LIVER_CANCER_SUBCLASS_S2	PIGC
HOSHIDA_LIVER_CANCER_SUBCLASS_S2	PLXNB1
HOSHIDA_LIVER_CANCER_SUBCLASS_S2	PNN
HOSHIDA_LIVER_CANCER_SUBCLASS_S2	POFUT1
HOSHIDA_LIVER_CANCER_SUBCLASS_S2	PPARG
HOSHIDA_LIVER_CANCER_SUBCLASS_S2	PPP2R1A
HOSHIDA_LIVER_CANCER_SUBCLASS_S2	PRDX3
HOSHIDA_LIVER_CANCER_SUBCLASS_S2	PTOV1
HOSHIDA_LIVER_CANCER_SUBCLASS_S2	RAB4A
HOSHIDA_LIVER_CANCER_SUBCLASS_S2	RBM39
HOSHIDA_LIVER_CANCER_SUBCLASS_S2	RPL24
HOSHIDA_LIVER_CANCER_SUBCLASS_S2	RPL27
HOSHIDA_LIVER_CANCER_SUBCLASS_S2	RPL31
HOSHIDA_LIVER_CANCER_SUBCLASS_S2	RPS19
HOSHIDA_LIVER_CANCER_SUBCLASS_S2	RPS24
HOSHIDA_LIVER_CANCER_SUBCLASS_S2	RPS25
HOSHIDA_LIVER_CANCER_SUBCLASS_S2	RPS27
HOSHIDA_LIVER_CANCER_SUBCLASS_S2	RPS5
HOSHIDA_LIVER_CANCER_SUBCLASS_S2	RRP1B
HOSHIDA_LIVER_CANCER_SUBCLASS_S2	SEPHS1
HOSHIDA_LIVER_CANCER_SUBCLASS_S2	SLC6A2
HOSHIDA_LIVER_CANCER_SUBCLASS_S2	SLC6A5
HOSHIDA_LIVER_CANCER_SUBCLASS_S2	SMARCA1
HOSHIDA_LIVER_CANCER_SUBCLASS_S2	SMARCC1
HOSHIDA_LIVER_CANCER_SUBCLASS_S2	SNRPE
HOSHIDA_LIVER_CANCER_SUBCLASS_S2	SNTB1
HOSHIDA_LIVER_CANCER_SUBCLASS_S2	SREBF2
HOSHIDA_LIVER_CANCER_SUBCLASS_S2	SSB
HOSHIDA_LIVER_CANCER_SUBCLASS_S2	SUMO1
HOSHIDA_LIVER_CANCER_SUBCLASS_S2	SUZ12
HOSHIDA_LIVER_CANCER_SUBCLASS_S2	TARBP1
HOSHIDA_LIVER_CANCER_SUBCLASS_S2	TBCE
HOSHIDA_LIVER_CANCER_SUBCLASS_S2	TFIP11
HOSHIDA_LIVER_CANCER_SUBCLASS_S2	TIA1
HOSHIDA_LIVER_CANCER_SUBCLASS_S2	TIAL1
HOSHIDA_LIVER_CANCER_SUBCLASS_S2	TM9SF4
HOSHIDA_LIVER_CANCER_SUBCLASS_S2	TP53BP2
HOSHIDA_LIVER_CANCER_SUBCLASS_S2	TPR
HOSHIDA_LIVER_CANCER_SUBCLASS_S2	TRIM26
